,ConfigDpreds,Configlabs
0,0.058725417,0
1,0.12897241,0
2,0.017603433,0
3,0.72734535,0
4,0.02414717,0
5,0.18997517,0
6,0.11646546,0
7,0.05912604,0
8,0.52773684,0
9,0.01562003,0
10,0.004320085,0
11,0.053870432,0
12,0.18241543,0
13,0.044702847,0
14,0.014773958,0
15,0.012260668,0
16,0.4647106,0
17,0.009602471,0
18,0.3130391,0
19,0.81352085,0
20,0.08003851,0
21,0.10502187,0
22,0.029226165,0
23,0.011078093,0
24,0.0103977155,0
25,0.20079438,0
26,0.0038223027,0
27,0.09856459,0
28,0.21133125,0
29,0.04822329,0
30,0.046489842,0
31,0.15234621,0
32,0.5934274,0
33,0.021666301,0
34,0.03381867,0
35,0.076630324,0
36,0.13543688,0
37,0.073059425,0
38,0.074740045,0
39,0.114563815,0
40,0.040191416,0
41,0.22763865,0
42,0.033888664,0
43,0.04592431,0
44,0.0066944137,0
45,0.01935489,0
46,0.04168675,0
47,0.008443227,0
48,0.0073156417,0
49,0.13007124,0
50,0.07242049,0
51,0.01029755,0
52,0.008960517,0
53,0.89711744,0
54,0.040383905,0
55,0.027753813,0
56,0.07460769,0
57,0.024223728,0
58,0.008543107,0
59,0.025869666,0
60,0.0032966216,0
61,0.012786202,0
62,0.024837375,0
63,0.027535424,0
64,0.042109217,0
65,0.0038873265,0
66,0.0022480856,0
67,0.29582208,0
68,0.031514708,0
69,0.0037318515,0
70,0.00788595,0
71,0.0094008595,0
72,0.043731194,0
73,0.058826525,0
74,0.50168437,0
75,0.16293693,0
76,0.7763265,0
77,0.15535071,0
78,0.49381483,0
79,0.014481249,0
80,0.06819808,0
81,0.12594661,0
82,0.016667346,0
83,0.022794418,0
84,0.0883745,0
85,0.015892312,0
86,0.15276042,0
87,0.06532581,0
88,0.003212231,0
89,0.10271464,0
90,0.01587868,0
91,0.0021749714,0
92,0.2504843,0
93,0.028121276,0
94,0.012963838,0
95,0.06323175,0
96,0.0071719605,0
97,0.007040959,0
98,0.04529876,0
99,0.0031918397,0
100,0.0045256983,0
101,0.023638556,0
102,0.013278741,0
103,0.006397835,0
104,0.00070971064,0
105,0.14687963,0
106,0.0032893098,0
107,0.001498187,0
108,0.0009104819,0
109,0.010569726,0
110,0.0026698872,0
111,0.0021686142,0
112,0.14886655,0
113,0.03444619,0
114,0.1076967,0
115,0.04819422,0
116,0.13994677,0
117,0.015780332,0
118,0.015412747,0
119,0.003188472,0
120,0.032928288,0
121,0.484904,0
122,0.15191689,0
123,0.023656348,0
124,0.03440139,0
125,0.13829727,0
126,0.36661515,0
127,0.349904,0
128,0.028313568,0
129,0.06294372,0
130,0.056162585,0
131,0.005335699,0
132,0.0004090585,0
133,0.06747478,0
134,0.01443643,0
135,0.023093604,0
136,0.051619828,0
137,0.020371974,0
138,0.13393065,0
139,0.010990243,0
140,0.012822276,0
141,0.59037346,0
142,0.82253015,0
143,0.03618185,0
144,0.33836833,0
145,0.07177384,0
146,0.08236688,0
147,0.018603742,0
148,0.7546454,0
149,0.1989717,0
150,0.04699835,0
151,0.023093378,0
152,0.09950147,0
153,0.014817789,0
154,0.0025979609,0
155,0.0018014482,0
156,0.52691144,0
157,0.57903653,0
158,0.84417045,0
159,0.72371584,0
160,0.71211153,0
161,0.013262719,0
162,0.009663255,0
163,0.021052662,0
164,0.0010238176,0
165,0.034845613,0
166,0.085083045,0
167,0.005044002,0
168,0.18817614,0
169,0.01579521,0
170,0.007146662,0
171,0.33668357,0
172,0.15525976,0
173,0.020567803,0
174,0.029346962,0
175,0.021862037,0
176,0.9640657,0
177,0.15193248,0
178,0.04363332,0
179,0.06212554,0
180,0.007672468,0
181,0.95006806,0
182,0.016484944,0
183,0.31622258,0
184,0.13375463,0
185,0.098525845,0
186,0.11614822,0
187,0.080336295,0
188,0.16497125,0
189,0.013732455,0
190,0.06533391,0
191,0.002522961,0
192,0.00079266634,0
193,0.04881489,0
194,0.004345222,0
195,0.005066073,0
196,0.03377361,0
197,0.044886533,0
198,0.0050857277,0
199,0.005763142,0
200,0.0028460557,0
201,0.03265195,0
202,0.15577535,0
203,0.6496523,0
204,0.009799507,0
205,0.0030327921,0
206,0.6344055,0
207,0.015475042,0
208,0.0012009101,0
209,0.022117367,0
210,0.037407726,0
211,0.99200106,0
212,0.002642951,0
213,0.010458786,0
214,0.0060147694,0
215,0.018684164,0
216,0.07643817,0
217,0.053995818,0
218,0.09491853,0
219,0.10730051,0
220,0.035455734,0
221,0.01613238,0
222,0.030442433,0
223,0.04749741,0
224,0.015934981,0
225,0.07140899,0
226,0.033282693,0
227,0.034123413,0
228,0.04202184,0
229,0.018023217,0
230,0.9312934,0
231,0.00018802981,0
232,7.6562515e-05,0
233,0.0008718818,0
234,0.0006991915,0
235,0.006735856,0
236,0.00037885582,0
237,0.39919695,0
238,0.00033523826,0
239,0.29357332,0
240,0.64370203,0
241,0.94277763,0
242,0.29742056,0
243,0.044007216,0
244,0.1707995,0
245,0.16936335,0
246,0.072345756,0
247,0.25138727,0
248,0.40471172,0
249,0.036764663,0
250,0.19552384,0
251,0.15044026,0
252,0.14183511,0
253,0.5406383,0
254,0.30483678,0
255,0.33680722,0
256,0.044547603,0
257,0.04330671,0
258,0.034310035,0
259,0.033453643,0
260,0.17465624,0
261,0.10079272,0
262,0.07172798,0
263,0.9528726,0
264,0.009955412,0
265,0.01928949,0
266,0.033293772,0
267,0.020005647,0
268,0.07858696,0
269,0.07683673,0
270,0.49389297,0
271,0.6129443,0
272,0.1382388,0
273,0.056398116,0
274,0.07700098,0
275,0.008314525,0
276,0.050452534,0
277,0.0022729263,0
278,0.17499402,0
279,0.0854212,0
280,0.017671924,0
281,0.0025095576,0
282,0.029868228,0
283,0.072628215,0
284,0.38494915,0
285,0.009032968,0
286,0.04228451,0
287,0.06791145,0
288,0.010125578,0
289,0.013217758,0
290,0.13468933,0
291,0.0467426,0
292,0.044495888,0
293,0.028743586,0
294,0.21463828,0
295,0.05238066,0
296,0.11792409,0
297,0.080127575,0
298,0.04111352,0
299,0.42740962,0
300,0.55257297,0
301,0.3833469,0
302,0.14171597,0
303,0.062082697,0
304,0.5998561,0
305,0.48637006,0
306,0.16142198,0
307,0.098746404,0
308,0.15942591,0
309,0.16532038,0
310,0.03806456,0
311,0.18077976,0
312,0.20462961,0
313,0.040590335,0
314,0.043302376,0
315,0.19385557,0
316,0.16621494,0
317,0.05613817,0
318,0.81065065,0
319,0.54222363,0
320,0.007963788,0
321,0.010000839,0
322,0.00793308,0
323,0.5035514,0
324,0.3641766,0
325,0.06455634,0
326,0.43908426,0
327,0.17105143,0
328,0.2088793,0
329,0.032676704,0
330,0.11493257,0
331,0.0018580953,0
332,0.046188876,0
333,0.028943315,0
334,0.00172312,0
335,0.019911682,0
